               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.015829,           0.0033129,           0.0034256,             0.95438,             0.93616,             0.98312,             0.80603,            0.013173,           0.0031441,           0.0057871,             0.00703,             0.00703,             0.00703
                  92,            0.015732,           0.0032914,           0.0034775,               0.973,             0.94539,             0.98794,             0.81111,            0.013182,            0.003147,           0.0050467,            0.006997,            0.006997,            0.006997
                  93,            0.015663,           0.0032441,           0.0030582,             0.96371,             0.94251,              0.9864,              0.8082,            0.013202,           0.0031227,            0.005879,            0.006964,            0.006964,            0.006964
                  94,            0.015636,           0.0032681,            0.002944,             0.96771,             0.95679,             0.98733,              0.8144,            0.012963,           0.0031146,           0.0048961,            0.006931,            0.006931,            0.006931
                  95,            0.015481,            0.003254,           0.0029067,             0.96423,             0.94136,             0.98711,             0.81482,            0.012979,           0.0030761,           0.0057914,            0.006898,            0.006898,            0.006898
                  96,             0.01523,           0.0032495,           0.0030736,             0.97274,             0.93622,             0.98713,             0.81322,            0.013275,           0.0031017,           0.0048823,            0.006865,            0.006865,            0.006865
                  97,            0.015784,           0.0032514,           0.0033345,             0.95119,             0.90224,             0.98362,             0.80908,            0.013086,           0.0031307,           0.0053485,            0.006832,            0.006832,            0.006832
                  98,            0.015593,           0.0033154,            0.002776,             0.95453,              0.9321,             0.98386,             0.80416,            0.013046,           0.0031059,           0.0050965,            0.006799,            0.006799,            0.006799
                  99,            0.015267,           0.0032848,           0.0031818,             0.96615,             0.92489,             0.98603,             0.81055,            0.012992,           0.0031096,            0.006793,            0.006766,            0.006766,            0.006766
                 100,            0.015431,            0.003243,           0.0029654,             0.96036,             0.93467,             0.98652,             0.80952,            0.013067,           0.0031198,           0.0055986,            0.006733,            0.006733,            0.006733
                 101,            0.015224,           0.0032082,           0.0029779,             0.96089,             0.94782,             0.98801,             0.81402,            0.013088,           0.0031397,           0.0042588,              0.0067,              0.0067,              0.0067
                 102,            0.014991,             0.00319,           0.0029512,             0.95353,             0.94999,             0.98736,             0.81686,            0.012826,           0.0030998,           0.0054213,            0.006667,            0.006667,            0.006667
                 103,            0.015044,           0.0032112,           0.0029462,             0.96715,             0.95422,             0.98787,             0.81955,            0.012848,           0.0030514,           0.0051631,            0.006634,            0.006634,            0.006634
                 104,            0.015412,           0.0031453,           0.0025672,             0.94627,             0.95132,              0.9852,             0.81356,            0.012815,           0.0030967,           0.0053771,            0.006601,            0.006601,            0.006601
                 105,             0.01535,           0.0032378,           0.0030834,             0.95939,             0.94794,             0.98786,             0.81642,            0.012771,           0.0030634,           0.0049961,            0.006568,            0.006568,            0.006568
                 106,            0.015066,           0.0031776,           0.0031591,             0.95776,             0.94472,             0.98614,             0.81626,             0.01275,           0.0030612,           0.0052056,            0.006535,            0.006535,            0.006535
                 107,             0.01508,           0.0031886,           0.0034384,             0.96276,             0.95739,             0.98773,             0.81779,            0.012764,            0.003113,           0.0055516,            0.006502,            0.006502,            0.006502
                 108,            0.015192,             0.00316,           0.0027569,             0.96182,             0.95988,             0.98903,             0.82289,            0.012603,           0.0030638,           0.0046905,            0.006469,            0.006469,            0.006469
                 109,            0.014806,            0.003101,           0.0025492,             0.98089,             0.95078,             0.98963,             0.82304,            0.012649,           0.0030402,           0.0045389,            0.006436,            0.006436,            0.006436
                 110,            0.014861,           0.0031112,           0.0029909,             0.98237,              0.9461,             0.98892,             0.82534,            0.012612,           0.0030359,           0.0048326,            0.006403,            0.006403,            0.006403
                 111,            0.015008,           0.0031836,           0.0029972,             0.98077,              0.9444,             0.98957,             0.81933,             0.01265,           0.0031055,           0.0044352,             0.00637,             0.00637,             0.00637
                 112,            0.015095,            0.003088,           0.0028436,             0.97719,              0.9256,             0.98785,             0.81866,            0.012622,           0.0031264,           0.0052366,            0.006337,            0.006337,            0.006337
                 113,            0.014747,           0.0031364,            0.002756,             0.97445,             0.94907,             0.98766,             0.82146,             0.01261,           0.0030824,           0.0041828,            0.006304,            0.006304,            0.006304
                 114,            0.015239,           0.0031595,           0.0027429,             0.96996,             0.95216,             0.98816,             0.81931,            0.012809,           0.0030585,            0.004845,            0.006271,            0.006271,            0.006271
                 115,            0.014807,           0.0031443,           0.0030615,             0.97468,             0.95833,             0.99034,             0.82179,             0.01286,           0.0030535,            0.004098,            0.006238,            0.006238,            0.006238
                 116,            0.015098,           0.0031539,           0.0028954,             0.98408,             0.95374,              0.9901,             0.82323,            0.012748,           0.0030571,           0.0056918,            0.006205,            0.006205,            0.006205
                 117,            0.014875,           0.0030857,           0.0027014,             0.97714,             0.95216,             0.98972,             0.82361,            0.012695,           0.0030273,           0.0043625,            0.006172,            0.006172,            0.006172
                 118,            0.014637,           0.0030648,            0.002197,             0.96978,             0.94082,             0.98916,             0.82555,            0.012667,           0.0030222,           0.0044636,            0.006139,            0.006139,            0.006139
                 119,            0.014419,           0.0030457,           0.0022379,             0.97629,             0.95297,             0.99014,             0.82451,            0.012512,           0.0030438,           0.0045748,            0.006106,            0.006106,            0.006106
                 120,            0.014694,           0.0030998,           0.0023752,             0.97612,             0.94621,             0.98975,             0.82723,            0.012312,            0.003012,           0.0050787,            0.006073,            0.006073,            0.006073
                 121,            0.014666,           0.0031187,           0.0027057,             0.97595,              0.9394,              0.9897,             0.82611,            0.012424,           0.0030438,            0.004822,             0.00604,             0.00604,             0.00604
                 122,             0.01462,           0.0030896,           0.0028267,              0.9776,             0.94272,             0.98829,             0.82496,            0.012457,           0.0030212,           0.0051126,            0.006007,            0.006007,            0.006007
                 123,            0.014616,           0.0030583,           0.0030327,             0.97787,             0.94136,             0.98783,             0.82126,            0.012356,           0.0029855,           0.0043504,            0.005974,            0.005974,            0.005974
                 124,            0.014668,           0.0030542,           0.0031334,             0.97111,             0.94753,              0.9895,             0.82622,            0.012466,           0.0030013,           0.0051056,            0.005941,            0.005941,            0.005941
                 125,            0.014735,           0.0030771,            0.002866,              0.9733,             0.95646,             0.99051,             0.82498,            0.012347,           0.0029904,           0.0042206,            0.005908,            0.005908,            0.005908
                 126,            0.014512,           0.0030377,           0.0026159,               0.969,             0.96487,             0.99071,             0.82559,            0.012335,           0.0030099,           0.0038289,            0.005875,            0.005875,            0.005875
                 127,            0.014413,            0.003075,           0.0028531,             0.96249,             0.95037,             0.98862,             0.82396,             0.01239,           0.0030152,            0.004357,            0.005842,            0.005842,            0.005842
                 128,            0.014552,           0.0031329,           0.0028394,             0.98123,             0.93981,             0.99048,             0.82154,            0.012315,           0.0029908,           0.0042731,            0.005809,            0.005809,            0.005809
                 129,            0.014266,            0.003014,            0.002575,             0.97756,             0.96142,             0.99062,             0.82814,            0.012356,           0.0029931,            0.003993,            0.005776,            0.005776,            0.005776
                 130,            0.014312,           0.0030315,           0.0022976,             0.97598,             0.95679,             0.99007,             0.82687,            0.012281,           0.0029736,           0.0041935,            0.005743,            0.005743,            0.005743
                 131,            0.014396,           0.0030846,           0.0023622,              0.9689,             0.96154,             0.98992,             0.82811,            0.012195,           0.0029781,           0.0039148,             0.00571,             0.00571,             0.00571
                 132,            0.014081,           0.0028994,           0.0021899,             0.97635,             0.95581,             0.99022,             0.82959,            0.012246,           0.0030168,           0.0040201,            0.005677,            0.005677,            0.005677
                 133,            0.014023,           0.0030715,           0.0021295,             0.98147,              0.9537,             0.99011,             0.82785,            0.012262,           0.0029893,           0.0037481,            0.005644,            0.005644,            0.005644
                 134,            0.014123,           0.0030986,           0.0024217,             0.97758,             0.95062,             0.99071,             0.82853,            0.012165,           0.0029757,           0.0040488,            0.005611,            0.005611,            0.005611
                 135,            0.014107,           0.0030342,           0.0024036,             0.98206,             0.94907,             0.98984,             0.82842,            0.012206,           0.0029756,           0.0038965,            0.005578,            0.005578,            0.005578
                 136,            0.013878,           0.0030632,           0.0024394,             0.97344,             0.96157,             0.99115,             0.82951,            0.012285,           0.0029862,           0.0037295,            0.005545,            0.005545,            0.005545
                 137,            0.014001,           0.0029703,            0.002772,             0.97971,             0.96858,             0.99136,             0.83382,             0.01218,           0.0029917,           0.0039594,            0.005512,            0.005512,            0.005512
                 138,            0.014216,           0.0030551,           0.0020506,             0.98255,              0.9556,             0.99095,             0.83098,            0.012089,           0.0030092,           0.0038569,            0.005479,            0.005479,            0.005479
